Designator,Mid X,Mid Y,Rotation,Layer
C1,100.584,-75.438,90.0,top
C2,99.314,-75.438,90.0,top
C4,96.72,-123.28,315.0,top
C5,95.91,-124.11,315.0,top
C6,100.19,-124.0,225.0,top
C7,101.72,-122.51,45.0,top
DATA1,107.442,-55.626,0.0,top
H1,111.76,-141.986,0.0,top
J1,116.848,-107.7595,90.0,bottom
J2,116.848,-66.802,90.0,bottom
J3,116.848,-94.107,90.0,bottom
J4,116.848,-126.412,90.0,bottom
J5,116.848,-80.4545,90.0,bottom
POWER1,123.9775,-55.626,0.0,top
R1,102.362,-81.788,90.0,top
R2,102.362,-78.232,270.0,top
R3,95.25,-83.566,180.0,top
R4,94.996,-75.692,180.0,top
R5,100.076,-83.566,0.0,top
R6,123.698,-61.722,270.0,top
R7,95.27,-122.45,45.0,top
R8,96.28,-119.47,225.0,top
R9,107.188,-61.722,270.0,top
SW2,102.098,-102.362,180.0,top
U2,97.282,-79.502,0.0,top
U3,98.298,-112.268,270.0,top
U4,100.7305,-66.3895,180.0,top
U5,98.995,-120.955,315.0,top
U6,115.824,-94.742,270.0,top
